Company_ID,Energy_Demand_MWh,Emission_Produced_tCO2,Emission_Allowance_tCO2,Carbon_Price_USD_per_t,Transaction_Type,Credits_Traded_tCO2,Verification_Status,Compliance_Cost_USD,Carbon_Cost_Savings_USD,Emission_Intensity,Fuel_Type_Mixed Fuel,Fuel_Type_Natural Gas,Fuel_Type_Renewable,Industry_Type_Energy,Industry_Type_Manufacturing,Industry_Type_Steel,Optimization_Scenario_Low_Demand,Optimization_Scenario_Price_Surge,year,month,day
C001,-0.31090046024151236,-0.7794142321691723,-0.5222807765931061,0.11237004303865848,1,-1.6870631720430247,1,0.8009991518562972,1.241637836600371,-1.1374100971038665,0,0,0,0,1,0,0,1,2024,1,2
C001,0.09635623802199601,0.9661658060442669,1.0245880291555982,-1.5087636954881891,0,-0.29372361364715555,1,-0.46860724065589776,0.5726616605991649,1.6162392207833078,1,0,0,0,0,1,0,1,2024,1,3
C001,-0.7882416330850847,-0.3874243288510666,-0.7039142924232932,0.9414641550281038,1,-0.16011571078727768,1,-1.3860147534360874,0.7682807474750212,0.7265608579020993,1,0,0,0,1,0,0,0,2024,1,10
C001,1.567360660162227,0.12298615906052598,0.039366267383810036,-1.7334065135411947,0,-1.2862394634633911,1,-0.3083281538213352,-0.8408417598083827,-1.3431910064584067,0,0,0,0,0,0,0,0,2024,2,12
C001,-0.8560314672516662,-0.25836365995782934,0.10344952727159519,-1.0270553846116397,1,1.5767870263911345,1,1.0010781880518793,0.7526456614569762,1.296158984641275,1,0,0,0,0,0,0,0,2024,2,17
C001,-1.0349994277934103,-0.9681137232769229,-1.3327503101818279,-1.5226591275327046,1,1.0041817284202295,1,-1.0450169603912107,1.3308244773587203,-0.38838901787765384,0,1,0,0,0,1,1,0,2024,3,13
C001,-0.2198144291941548,-0.5545091889844722,-0.7606087950734624,-0.3508110251118694,1,-1.648889485511631,1,1.279580974274744,0.8201014766218617,-0.7784137268004835,0,1,0,0,0,0,0,0,2024,3,20
C001,0.5035709611559895,0.3320042394400985,0.027166698428295697,-1.1938005691458302,0,-1.2289789336663006,1,-0.06845378061255564,1.589969779627609,-0.12805663159427125,0,1,0,0,0,1,0,1,2024,3,28
C001,-0.9902119646009997,-1.309495288501325,-1.3394692075599894,0.01278611338629506,0,-0.38915782997563975,1,1.341649338923168,-1.143684766960741,-1.5807316620666167,0,0,1,0,0,0,0,0,2024,3,28
C001,-0.8985802568699481,-1.1024839823708215,-0.7527734645962102,0.5686033951669281,0,-1.6298026422459342,1,-1.181071996461597,0.10966316309855807,-1.0922308534845322,0,0,0,1,0,0,0,0,2024,5,7
C001,0.8205391558329236,-0.46612750643173356,-0.22821229829271267,-0.21880442068896888,0,-0.06468149445879351,1,0.8850914773575271,-0.795352823933503,-1.6162664302630392,0,0,0,0,0,0,0,1,2024,5,12
C001,-0.8024432185709628,-0.5946237700674203,-0.4585425960268581,-0.4503949547642328,0,0.24070799779235588,1,0.7442119254647247,-0.21404976793046213,0.18139199217879579,0,1,0,0,0,1,0,0,2024,6,12
C001,-1.5237438441551998,-1.5734488139491554,-1.167477613949219,0.5361807203963919,0,0.6606185496376863,0,0.10882642029602685,-1.3881391979977546,-1.621360211802822,0,0,0,0,1,0,0,0,2024,6,14
C001,1.6663659989780644,1.4071962550739914,0.977860229262763,0.188794919283496,0,-0.5036788895698208,1,-1.5087654722122492,-0.7848276061700237,0.04364368299068585,0,1,0,0,1,0,0,1,2024,6,30
C001,-1.0919316951254683,-1.08966989263458,-1.3777121158997383,0.6797668515230549,1,0.20253431126096222,0,-0.4930872767242273,-0.12858444427054633,-0.6609083135528939,1,0,0,0,0,0,0,0,2024,7,9
C001,0.4654575435564503,1.0440119237893941,1.337676467707767,0.46438765483305955,1,-1.553455269183147,0,1.4866500235954432,1.591094506064076,1.052784190836332,0,0,0,0,0,1,1,0,2024,7,26
